N,P,K,temperature,humidity,ph,rainfall,label
8.27,52.5,17.67,24.221589,49.519162,5.831348,58.887562,mothbeans
9.83,24.54,39.46,34.937053,93.065674,6.282652,142.540445,coconut
69.81,61.31,22.77,26.745751,61.786443,6.296276,72.42032,maize
1.7,100.78,217.37,8.240647,95.478985,5.744183,112.222695,apple
13.85,27.78,25.68,31.276794,91.527171,6.422413,153.91849,coconut
6.53,78.17,20.52,23.635434,25.209848,5.72649,154.80602,kidneybeans
20.5,53.48,24.93,30.937112,62.037953,6.864412,60.420513,mothbeans
34.27,41.56,25.5,25.073481,86.264373,6.923275,33.892716,mungbean
38.54,86.32,23.58,20.010246,68.710165,7.315931,55.83712,lentil
103.13,29.65,52.95,30.734117,81.869107,6.162533,46.062327,watermelon
20.26,35.94,21.7,30.430667,85.207993,6.918668,32.104803,mungbean
24.86,75.6,15.3,27.495482,47.369705,5.433588,127.457024,pigeonpeas
12.72,70.58,23.78,30.964325,51.293998,5.660636,169.404501,pigeonpeas
13.16,77.3,20.34,30.605995,54.612183,6.355886,166.696216,pigeonpeas
3.73,82.81,15.51,24.931683,24.193006,6.403615,151.411624,kidneybeans
71.12,46.06,12.79,23.220123,64.368333,5.88916,62.258656,maize
76.16,58.41,57.31,27.258114,89.787807,7.420638,174.912978,jute
9.93,68.26,75.76,23.48242,18.156214,6.560882,83.740624,chickpea
16.16,127.73,204.99,12.033535,93.185018,5.841679,114.175023,apple
11.84,15.97,16.36,17.398578,90.960248,7.188949,102.35671,orange
107.0,42.41,18.22,25.327122,82.603676,6.081889,65.895535,cotton
91.97,44.76,47.99,26.518654,81.197336,5.675655,163.156352,rice
11.29,12.78,25.07,34.973081,91.68042,7.919306,172.242626,coconut
0.49,122.49,195.35,8.812252,88.97766,6.665383,60.721211,grapes
32.75,68.22,16.78,21.553387,62.346432,6.560958,44.960035,lentil
112.71,19.59,45.26,30.924496,92.672747,6.55285,44.223538,watermelon
4.45,110.01,211.0,15.847614,85.813776,6.334959,79.402316,grapes
13.2,129.22,204.94,14.97845,88.04508,5.575892,65.979155,grapes
26.65,56.11,28.7,32.53158,69.866345,6.976416,96.174308,blackgram
1.97,39.31,30.37,29.355733,93.717627,6.163788,159.856979,pomegranate
14.31,69.14,65.9,19.187438,17.391665,5.754552,82.009588,chickpea
12.5,19.75,30.4,30.847067,95.532501,6.050033,139.385418,coconut
76.2,64.27,24.62,18.807353,68.033389,6.807114,91.711722,maize
6.32,83.71,16.27,24.73181,68.827707,7.01774,55.420519,lentil
0.71,115.76,215.16,10.23134,91.804702,6.573511,60.07887,grapes
91.82,29.75,45.58,26.782867,85.610053,6.593806,49.41691,watermelon
98.56,38.79,48.64,23.794879,78.003816,7.451709,178.606139,jute
101.69,26.05,39.26,31.547978,68.035714,6.57643,173.813164,coffee
97.62,24.66,29.3,29.183016,66.15808,6.685268,167.428104,coffee
39.82,50.79,23.36,24.759079,24.440973,6.317807,137.194959,kidneybeans
86.28,53.78,43.34,27.655534,84.430696,6.400503,199.384999,jute
27.37,42.43,17.3,27.644045,57.721491,5.036623,62.025852,mothbeans
28.94,93.47,24.43,23.511954,23.791133,6.763683,152.143227,kidneybeans
108.75,73.43,48.17,26.327271,88.987201,6.870314,137.844736,banana
34.15,57.67,23.74,20.567808,23.652551,5.858178,140.284211,kidneybeans
5.39,21.35,27.96,29.954196,90.018405,5.58076,170.538729,coconut
58.52,66.58,42.59,36.262427,92.779338,6.861245,160.573812,papaya
52.92,72.59,49.54,34.689082,94.09943,8.001662,166.358749,papaya
22.03,60.82,19.76,31.539731,87.777765,6.754738,32.701651,mungbean
5.5,35.94,28.26,36.493631,54.833327,5.077152,88.352757,mango
2.29,18.15,34.0,31.250227,86.161653,7.231988,122.11145,pomegranate
85.4,14.37,45.13,32.18351,94.720931,6.992818,55.683945,watermelon
27.87,92.95,16.83,26.33564,17.234157,6.7543,104.604426,kidneybeans
82.51,40.8,21.15,26.521453,64.92835,6.198636,60.273655,maize
14.32,100.92,218.92,7.404279,96.557178,6.06664,107.895208,apple
27.41,53.32,16.59,32.399436,60.828033,7.214654,91.84595,blackgram
9.48,83.19,81.83,23.083373,19.198116,6.498388,84.788776,chickpea
0.47,135.48,221.83,22.967298,92.345253,6.988325,71.728039,grapes
15.67,131.79,216.32,12.160382,85.903932,5.679626,64.777819,grapes
110.77,91.49,50.1,28.213055,82.730465,6.313124,90.820719,banana
131.88,41.64,16.69,25.672487,78.3338,6.370946,88.618348,cotton
63.8,51.77,32.53,26.551579,81.374079,6.93832,270.132626,rice
7.58,22.82,38.42,23.112877,92.851901,7.246062,190.559265,pomegranate
14.85,32.09,26.14,26.506528,85.08424,7.16285,46.041502,mungbean
97.05,78.46,62.71,28.611733,84.869534,6.083571,144.103885,banana
82.3,44.52,61.43,26.212203,89.40435,6.978172,186.064434,jute
23.69,45.17,17.8,26.381047,84.842327,6.044748,39.243809,mungbean
60.5,63.88,17.8,22.079614,56.881439,6.834485,79.750362,maize
6.99,58.78,78.56,24.540547,22.07561,5.930487,94.382445,chickpea
39.79,69.45,79.12,20.374129,14.735083,6.685913,69.118711,chickpea
22.85,89.76,61.55,18.663985,19.708061,7.119881,63.56168,chickpea
8.09,124.8,221.02,13.69273,92.800617,6.412092,108.376078,apple
83.53,50.58,30.37,23.180226,88.253995,5.943039,218.782212,rice
23.81,99.56,18.86,19.705421,18.115333,6.332883,135.786706,kidneybeans
72.9,84.41,54.04,37.705145,94.883787,7.556498,154.618836,papaya
113.93,40.86,38.41,28.950094,67.878701,6.869626,191.102355,coffee
4.51,68.78,28.12,28.625189,62.527391,6.600037,91.438673,blackgram
36.1,91.45,24.47,23.58132,22.752914,6.535743,100.988932,kidneybeans
18.23,34.45,36.56,30.175549,48.795962,6.969677,88.274094,mango
10.68,26.14,33.45,34.475337,58.885459,5.3036,98.900004,mango
13.38,10.9,27.29,26.312375,92.189601,7.975361,132.580826,coconut
70.99,59.06,63.52,35.89206,90.726961,6.98061,142.587933,papaya
17.4,120.87,213.92,14.431787,92.094315,6.641799,100.682924,apple
34.47,75.69,87.62,24.863897,18.530278,6.306709,96.933879,chickpea
5.15,39.21,40.02,23.272573,85.61507,6.772344,198.337985,pomegranate
14.21,63.95,88.67,20.732074,17.974288,7.205245,82.878025,chickpea
112.36,36.06,60.39,32.212486,93.420931,6.701662,25.684267,muskmelon
4.98,119.33,218.03,11.942424,90.233634,5.953431,112.685529,apple
85.51,30.74,63.42,28.084809,90.393005,6.417045,26.759659,muskmelon
95.84,35.04,64.46,34.618121,90.113366,6.705008,22.508648,muskmelon
38.93,35.03,37.14,29.371039,45.943811,6.629837,102.959243,mango
6.19,17.19,32.83,27.523023,50.919858,4.845976,109.221112,mango
134.63,58.49,19.26,24.348508,79.203295,6.912333,75.587081,cotton
2.09,22.19,31.37,33.666041,96.43325,7.547155,145.78814,coconut
0.91,33.71,40.59,24.45538,88.824392,7.014746,146.524734,pomegranate
70.66,34.19,44.34,22.918226,82.325699,6.051268,204.958867,rice
116.48,31.35,53.97,31.85861,90.324927,6.909521,24.961761,muskmelon
87.54,20.95,30.71,25.550028,69.702258,6.122857,164.038293,coffee
72.51,66.2,55.17,41.042293,95.959299,8.340047,149.414126,papaya
18.13,53.59,17.71,31.8771,52.71385,6.481537,47.229315,mothbeans
99.29,58.22,16.37,21.699844,63.352386,5.677599,99.737528,maize
12.19,36.29,42.64,33.463162,48.495588,5.860273,110.237497,mango
114.75,36.42,45.72,37.704329,90.976548,6.232562,29.749673,muskmelon
25.3,62.18,25.1,27.706107,50.45672,5.32436,133.237714,pigeonpeas
10.93,48.73,23.93,34.192221,86.507272,7.312535,34.902879,mungbean
90.41,31.67,26.94,31.387546,65.130872,6.622875,187.971014,coffee
13.01,117.64,214.89,21.875286,84.549498,6.989245,78.172387,grapes
2.92,11.16,43.65,31.306288,90.266343,5.232032,182.835245,coconut
138.8,44.47,17.41,25.824146,78.013385,7.347754,79.034003,cotton
2.58,66.43,18.45,34.853646,59.121972,6.235572,100.498497,pigeonpeas
72.68,31.08,42.55,23.318929,82.255929,6.358687,234.865785,rice
13.73,108.71,214.8,4.669965,96.990718,6.597651,117.712345,apple
2.48,37.79,30.35,29.426008,95.422212,6.220106,152.709809,pomegranate
88.2,42.29,39.76,26.464296,69.686912,6.546442,162.446248,coffee
10.12,81.03,90.87,20.026544,23.186384,5.92615,60.172231,chickpea
118.1,55.78,19.46,26.081697,76.5724,6.249958,78.344902,cotton
70.95,50.03,55.31,23.84245,91.316134,6.467205,154.665365,jute
14.92,16.77,44.16,36.945983,50.468203,6.85967,86.709052,mango
112.35,99.77,62.12,34.545249,77.896248,5.748189,125.18111,banana
52.94,77.14,62.15,39.901897,94.399333,6.805151,142.555094,papaya
13.34,127.57,220.36,2.591023,95.598513,6.175182,112.859317,apple
5.13,81.23,97.54,22.827,18.85345,7.253356,81.098305,chickpea
73.01,57.27,45.89,25.196226,85.907448,6.480159,194.907494,rice
11.72,95.02,26.43,31.981902,50.572121,6.417889,194.814768,pigeonpeas
0.8,56.74,25.76,34.060592,58.406181,5.12269,69.233261,mothbeans
2.46,47.95,18.04,31.992708,86.280314,6.674031,33.404548,mungbean
65.78,43.08,64.54,27.898075,81.459448,6.361573,161.475904,jute
11.95,11.64,30.13,21.808696,86.407363,6.015305,190.695522,pomegranate
4.88,139.02,198.65,15.063542,85.518842,6.847093,69.104715,grapes
38.05,57.53,19.3,25.430275,55.019346,4.270169,68.066526,mothbeans
82.97,63.0,54.67,23.155204,82.61461,7.190185,163.028123,jute
63.99,46.13,21.15,18.231401,74.584493,6.065717,95.965627,maize
17.49,6.23,36.17,31.36775,96.526737,6.965431,128.242616,coconut
75.14,42.84,12.49,25.231138,62.781934,5.821808,88.133621,maize
1.24,65.67,68.01,22.440279,15.994536,6.849626,70.539017,chickpea
86.46,93.98,63.58,33.325074,84.718338,6.573239,98.052338,banana
67.34,59.4,43.76,25.488567,86.364083,6.35862,171.769538,rice
17.65,9.27,29.11,30.809586,95.906773,5.236849,188.070465,coconut
87.46,62.36,44.14,27.22643,81.222485,6.827864,191.404992,jute
33.05,17.78,35.26,32.205609,53.612052,6.714125,104.956558,mango
80.35,16.82,54.42,36.505404,96.755818,6.594869,22.12134,muskmelon
4.58,142.11,203.61,8.779036,92.111022,6.553996,103.043238,apple
114.14,94.43,55.75,25.488599,81.724543,6.862062,132.704204,banana
3.98,82.28,16.0,27.412935,46.214144,6.097775,116.033812,pigeonpeas
27.65,56.83,26.13,27.379099,74.709604,6.341681,69.46736,blackgram
9.06,17.05,16.54,15.131416,91.232173,6.087266,103.785588,orange
28.2,52.8,79.24,23.25769,22.227891,7.130146,77.929625,chickpea
94.44,40.38,50.28,33.182227,81.140773,6.740711,59.31579,watermelon
106.35,91.07,50.42,30.538625,82.390618,6.693962,147.359056,banana
10.92,112.04,191.16,0.773636,94.865074,6.959719,113.640652,apple
25.5,52.03,99.26,20.752041,23.864309,6.451122,62.413233,chickpea
89.02,37.52,40.69,26.145814,66.125613,6.532081,160.041161,coffee
12.57,61.36,19.0,33.596803,57.048339,5.755977,178.990598,pigeonpeas
19.22,22.99,13.89,18.488672,93.807089,6.662206,105.683406,orange
18.38,107.72,192.15,9.802011,94.161754,6.928046,127.194053,apple
6.86,15.16,31.8,34.114799,90.91556,6.722823,131.848646,coconut
55.49,54.63,61.64,38.482387,91.022715,7.347749,154.585057,papaya
118.4,44.89,51.97,33.458971,94.377167,6.257197,52.204176,watermelon
15.26,41.56,24.0,25.014834,55.680705,6.131827,52.70756,mothbeans
55.07,75.14,52.64,41.429634,92.865738,6.664988,150.567726,papaya
37.47,57.52,64.29,20.981182,19.715046,6.516386,77.4667,chickpea
2.47,39.07,46.46,34.110313,90.388766,5.566805,157.437117,pomegranate
8.55,86.0,73.71,17.311835,19.440602,5.747876,69.538658,chickpea
68.38,78.9,41.66,35.003459,90.090773,7.519615,170.652995,papaya
22.57,70.35,25.9,22.642116,72.455203,6.562552,52.648564,lentil
13.04,141.93,223.75,6.400675,94.319554,6.704211,100.031145,apple
17.62,23.55,37.1,29.930932,95.501754,6.954101,149.484856,pomegranate
32.82,59.63,74.43,18.410845,19.14233,6.28412,69.637085,chickpea
33.28,30.32,37.54,28.408728,45.347403,4.626871,116.156806,mango
1.4,56.48,85.57,23.263242,16.320278,7.334791,94.039885,chickpea
13.92,19.52,41.94,32.43944,93.198912,7.116899,198.734016,pomegranate
104.5,42.53,53.08,33.454471,91.977783,6.001725,49.755883,watermelon
4.05,63.66,22.91,25.856885,23.111464,5.635612,135.536497,kidneybeans
26.14,56.42,22.92,28.342734,83.787734,6.876095,31.348242,mungbean
118.68,16.98,45.53,28.05323,92.796881,6.884253,28.197621,muskmelon
108.98,13.9,63.27,31.010412,87.39958,6.484729,43.627241,watermelon
25.08,69.41,20.18,22.805151,23.946745,6.068302,135.25117,kidneybeans
112.12,38.71,58.26,35.073827,95.177129,6.724377,27.380085,muskmelon
26.74,40.5,27.28,36.245926,58.558829,5.797871,104.98969,mango
87.85,43.38,41.43,22.110585,86.302826,6.042719,163.147488,rice
6.15,60.91,25.87,31.316684,62.817911,7.287514,62.134039,blackgram
11.18,84.22,75.6,21.245786,24.741798,5.872967,72.056025,chickpea
101.81,72.37,58.97,32.163368,82.687205,6.805581,130.346208,banana
22.11,71.88,20.32,26.634166,63.397584,7.227169,70.705949,blackgram
19.88,76.57,15.4,34.425093,51.383479,5.511878,199.940893,pigeonpeas
57.26,80.32,61.2,34.796549,90.570751,7.281114,158.695264,papaya
16.39,63.19,25.97,29.484583,45.325142,6.928027,181.576361,pigeonpeas
35.09,50.78,27.48,26.829032,82.820175,6.98393,31.558575,mungbean
1.05,13.26,25.31,29.690988,95.369111,5.30066,178.817815,coconut
114.84,41.89,21.59,27.475324,80.225059,7.931681,74.168259,cotton
6.86,102.22,200.58,23.394947,86.16709,6.796998,70.173187,grapes
16.33,111.94,198.1,10.872519,93.110992,6.724856,104.310508,apple
3.33,53.83,27.01,20.932877,63.622627,6.848626,51.877229,lentil
85.06,85.78,52.74,27.800408,81.037607,6.427014,108.683239,banana
85.4,35.29,36.7,23.33467,91.392843,6.355278,166.441909,jute
2.84,130.73,194.32,0.724378,90.764506,6.536011,104.179758,apple
2.44,31.07,49.85,26.404469,85.260615,7.136508,120.609391,pomegranate
8.42,111.76,193.04,11.64984,92.906935,6.263835,114.080297,apple
18.86,39.78,25.91,33.545269,86.799415,7.002878,42.006361,mungbean
109.42,37.25,52.24,28.462952,90.055053,6.825393,23.215574,muskmelon
114.84,18.33,28.33,28.159858,66.379111,6.942562,178.449267,coffee
92.6,26.46,43.88,25.92212,66.57255,6.655013,194.801361,coffee
17.53,66.04,18.14,30.878219,49.65106,5.128418,176.750742,pigeonpeas
86.48,57.05,35.41,25.13756,81.356413,7.277888,197.693483,jute
34.9,74.12,28.84,18.789834,18.026173,6.894448,156.849583,kidneybeans
105.04,74.11,59.77,33.870226,88.898816,6.490264,101.843785,banana
87.93,46.21,14.53,21.941258,63.332193,5.502491,65.603519,maize
90.84,37.52,52.98,27.288893,89.822025,6.620158,160.430211,jute
87.3,44.48,24.42,19.784418,58.99084,6.788474,105.629137,maize
24.42,90.59,27.33,28.095435,55.979091,6.126022,147.288718,pigeonpeas
7.78,36.94,31.99,31.875174,47.354481,6.936949,109.045495,mango
25.71,98.6,18.71,20.247033,18.25549,6.790845,113.583852,kidneybeans
19.34,13.58,45.8,31.036972,90.249425,6.076417,155.003745,pomegranate
87.16,33.47,64.47,33.649632,80.378778,6.273727,43.145149,watermelon
27.32,53.85,18.14,29.509496,68.596442,7.498295,61.037049,blackgram
65.75,60.79,12.59,23.072927,74.83549,5.506011,60.82899,maize
75.51,49.23,30.32,21.463404,85.250883,5.745627,174.88603,rice
32.79,71.97,29.43,26.738128,58.353912,6.149218,68.088355,mothbeans
23.28,75.05,22.08,25.360518,23.710832,6.012068,148.034627,kidneybeans
38.81,41.84,31.32,27.310911,49.624572,5.011805,101.890077,mango
123.75,35.55,15.36,25.157681,81.090754,7.92526,62.723505,cotton
61.68,84.17,56.6,35.904993,93.867057,6.665982,159.099024,papaya
27.42,41.6,26.93,27.112775,57.920957,5.749539,59.578841,mothbeans
134.77,54.33,16.06,23.455203,84.150788,6.276394,71.736785,cotton
29.25,62.22,16.88,25.867458,93.394873,6.69457,48.907065,mungbean
8.59,16.84,6.04,11.482422,96.547625,6.102437,117.704368,orange
88.28,44.99,35.24,23.421683,84.939968,6.282743,174.731121,jute
11.62,62.37,26.38,28.436673,65.465356,7.492235,82.224581,blackgram
32.98,46.84,21.22,28.271709,93.632247,6.262375,34.539235,mungbean
89.02,23.52,45.29,25.533378,62.399291,6.191646,169.380525,coffee
117.97,92.9,52.46,25.30922,88.724691,5.990735,132.286644,banana
21.34,85.31,21.84,26.549852,49.882382,6.708786,103.447099,pigeonpeas
66.68,74.23,60.25,37.045763,91.95054,8.172791,164.184898,papaya
3.21,134.78,198.51,12.64232,94.11001,6.09114,116.691501,apple
2.17,10.3,47.88,24.592634,90.604485,5.723232,198.529592,pomegranate
84.42,46.16,23.33,27.296666,56.996621,5.661104,65.766322,maize
15.87,37.15,33.81,27.918672,51.60759,5.769219,98.313688,mango
5.63,23.42,31.7,32.287107,96.668947,6.317922,127.786051,coconut
